lat_idx,lon_idx,district
17,11,Lalitpur
18,11,Jhansi
18,12,Hamirpur
18,13,Banda
18,14,Kaushambi
18,15,Jaunpur
18,16,Ghazipur
19,12,Auraiya
19,13,Unnao
19,14,Amethi
19,15,Ambedkar Nagar
19,16,Gorakhpur
20,10,Mathura
20,11,Etah
20,12,Farrukhabad
20,13,Sitapur
20,14,Bahraich
20,15,Balrampur
21,10,Gautam Buddha Nagar
21,11,Sambhal
21,12,Bareilly
21,13,Lakhimpur Kheri
22,10,Muzaffarnagar
22,11,Bijnor
20,11,Agra
20,11,Aligarh
18,14,Allahabad
21,11,Amroha
19,16,Azamgarh
22,10,Baghpat
18,17,Ballia
19,14,Barabanki
19,15,Basti
21,12,Budaun
21,10,Bulandshahr
18,16,Chandauli
18,14,Chitrakoot
19,16,Deoria
19,12,Etawah
19,15,Faizabad
18,13,Fatehpur
20,11,Firozabad
21,10,Ghaziabad
20,15,Gonda
21,10,Hapur
20,13,Hardoi
20,11,Hathras
19,12,Jalaun
20,12,Kannauj
19,12,Kanpur Dehat
19,13,Kanpur Nagar
20,11,Kasganj
19,16,Kushinagar
19,13,Lucknow
20,16,Maharajganj
18,12,Mahoba
20,12,Mainpuri
19,16,Mau
22,10,Meerut
17,15,Mirzapur
21,11,Moradabad
21,12,Pilibhit
18,14,Pratapgarh
19,14,Rae Bareli
21,12,Rampur
22,10,Saharanpur
19,16,Sant Kabir Nagar
18,15,Sant Ravi Das Nagar
20,12,Shahjahanpur
22,10,Shamli
20,14,Shravasti
20,15,Siddharth Nagar
17,16,Sonbhadra
19,15,Sultanpur
18,15,Varanasi
